Target,Source,Weight
magic,world,1373
magic,monk,1006
magic,thousand,1126
tripl,world,1992
sâriputra,tripl,1114
tripl,lord,1956
tripl,law,2311
tripl,bodhisattva,1397
tripl,buddha,1153
tripl,tathâgata,1624
tripl,vehicl,1197
tripl,great,1310
be,tripl,1101
tripl,man,1307
person,lord,1421
person,law,1451
person,bodhisattva,1155
person,man,1060
lord,result,1464
law,result,1021
tathâgata,result,1048
monk,result,1195
famili,man,3601
throne,lord,1876
throne,law,1240
throne,bodhisattva,1005
throne,tathâgata,1482
throne,world,1060
lord,suppress,1544
suppress,law,1143
tathâgata,suppress,1168
suppress,world,1067
monk,suppress,1492
hear,smell,1159
bodhisattva,smell,1054
good,smell,1103
lord,friend,1144
law,water,1288
tathâgata,water,1108
lord,citi,1211
monk,citi,1152
qualiti,lord,1094
qualiti,law,1233
law,cloud,1148
forward,lord,1174
dharmaparyâya,man,2798
repos,lord,1098
monk,mahâbhigñâgñanâbhibhû,2387
mahâbhigñâgñanâbhibhû,world,1327
tathâgata,mahâbhigñâgñanâbhibhû,1591
monk,atom,1101
tathâgata,atom,1171
thousand,atom,1072
thousand,mahâbhigñâgñanâbhibhû,1247
lord,atom,1245
mahâbhigñâgñanâbhibhû,lord,2258
mahâbhigñâgñanâbhibhû,great,1020
koti,mahâbhigñâgñanâbhibhû,1194
koti,atom,1068
mahâbhigñâgñanâbhibhû,enlighten,1118
mahâbhigñâgñanâbhibhû,law,1314
angel,enlighten,2256
lord,angel,4669
monk,angel,4752
angel,æon,1070
angel,world,2832
tathâgata,angel,3364
mahâbhigñâgñanâbhibhû,angel,1142
thousand,angel,2617
myriad,angel,1679
knowledg,angel,1135
angel,follow,1056
stanza,angel,1185
great,angel,2227
men,angel,1292
koti,angel,2472
bodhisattva,angel,1079
suprem,angel,1031
perfect,angel,1071
law,angel,2912
god,angel,1294
angel,angel,1188
be,angel,2080
great,car,1555
be,car,1485
monk,aerial,1808
aerial,world,1073
aerial,tathâgata,1246
aerial,lord,1724
aerial,law,1042
monk,car,3277
world,car,2010
tathâgata,car,2348
thousand,car,1764
lord,car,3242
myriad,car,1139
koti,car,1688
enlighten,car,1556
law,car,2088
angel,car,1598
brahma,car,1561
mahâbhigñâgñanâbhibhû,brahma,1118
brahma,angel,2305
buddha,angel,1283
monk,forward,1055
north,lord,1064
monk,novic,1703
novic,lord,1600
novic,tathâgata,1142
bodhisattva,piou,1000
tathâgata,sâkyamuni,2721
tathâgata,saha,1860
sâkyamuni,world,1711
thousand,sâkyamuni,1451
lord,sâkyamuni,3443
great,sâkyamuni,1042
bodhisattva,sâkyamuni,2498
law,sâkyamuni,1699
buddha,sâkyamuni,1015
saha,world,1308
thousand,saha,1069
lord,saha,2729
bodhisattva,saha,2460
repos,monk,1107
tathâgata,ladi,1396
dharmaparyâya,ladi,1129
ladi,young,1606
bodhisattva,ladi,1538
lord,ladi,1209
ladi,good,1291
bhaishagyarâga,man,1305
ladi,man,1116
mahâsattva,sâkyamuni,1093
prabhûtaratna,tathâgata,1567
prabhûtaratna,world,1007
prabhûtaratna,lord,2044
prabhûtaratna,bodhisattva,1401
frame,lord,1050
mahâsattva,saha,1402
bodhisattva,sarvasattvapriyadarsana,1692
tathâgata,sarvasattvapriyadarsana,1026
sarvasattvapriyadarsana,lord,1068
bodhisattva,nakshatrararâgasankusumitâbhigña,2983
mahâsattva,nakshatrararâgasankusumitâbhigña,1775
nakshatrararâgasankusumitâbhigña,nakshatrararâgasankusumitâbhigña,1357
lord,nakshatrararâgasankusumitâbhigña,1763
thousand,nakshatrararâgasankusumitâbhigña,1045
tathâgata,nakshatrararâgasankusumitâbhigña,1838
great,nakshatrararâgasankusumitâbhigña,1095
nakshatrararâgasankusumitâbhigña,young,1756
nakshatrararâgasankusumitâbhigña,man,1291
nakshatrararâgasankusumitâbhigña,good,1393
famili,nakshatrararâgasankusumitâbhigña,1394
dharmaparyâya,nakshatrararâgasankusumitâbhigña,1220
lotu,nakshatrararâgasankusumitâbhigña,1063
nakshatrararâgasankusumitâbhigña,law,1271
mahâsattva,sarvasattvapriyadarsana,1007
sarvasattvapriyadarsana,nakshatrararâgasankusumitâbhigña,1465
lord,gadgadasvara,2543
tathâgata,gadgadasvara,1511
bodhisattva,gadgadasvara,2283
mahâsattva,gadgadasvara,1745
avalokitesvara,man,2170
subhavyûha,young,1305
king,subhavyûha,1046
subhavyûha,lord,1029
